HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
3013,00 38 20.26,-14 59 54.2,10.88,1.52,B2,-0.195
3023,00 38 30.35,-57 56 12.1,10.07,8.97,G2,0.647
3061,00 38 50.88,+03 42 17.3,11.66,8.17,,
3062,00 38 51.24,+33 02 18.4,11.0,17.84,K5,1.13
3073,00 38 59.46,+03 52 02.2,10.79,8.42,G5,0.838
3100,00 39 28.06,-35 37 17.4,10.03,4.93,F2/F3V,0.441
3113,00 39 36.93,+16 26 27.5,11.19,15.9,,
3121,00 39 41.86,+10 39 15.4,10.5,30.52,K5:,1.143
3124,00 39 44.00,-00 31 56.6,10.75,4.83,A0,0.069
3125,00 39 44.39,-26 27 57.5,10.22,24.73,,1.278
3143,00 39 58.43,-44 15 09.6,11.41,43.64,M4,1.476
3144,00 39 58.46,-17 39 41.0,10.05,6.86,G0,0.657
3161,00 40 13.59,+07 47 18.6,11.49,18.91,K7,1.255
3173,00 40 26.14,-35 29 39.5,10.2,-0.01,F3/F5V,0.461
3186,00 40 33.06,-48 30 33.1,11.1,15.87,,1.022
3213,00 40 52.39,-51 22 47.3,11.27,6.68,sdG8,0.49
3243,00 41 15.19,-52 19 01.9,10.84,22.95,K7,1.27
3249,00 41 24.22,-13 10 20.3,10.67,30.07,K5,1.176
3256,00 41 28.84,+31 16 08.6,11.64,18.85,M2,1.36
3261,00 41 30.72,-33 37 29.8,10.58,50.29,,1.432
3278,00 41 46.12,+00 09 57.3,10.71,7.8,,0.616
3280,00 41 48.78,+18 19 35.6,10.99,19.15,K7,1.27
3282,00 41 51.00,-53 57 49.1,10.7,18.72,K7,1.597
3291,00 42 00.25,-24 56 56.3,11.02,1.16,,
3298,00 42 03.06,-16 32 16.5,11.14,7.77,,0.882
3305,00 42 08.20,-15 21 37.9,10.45,3.23,A2,0.293
3306,00 42 08.30,-52 21 29.4,12.2,10.24,M,0.95
3309,00 42 08.82,+34 28 11.4,10.05,3.03,G0,0.8009999999999999
3317,00 42 16.34,-56 52 32.0,10.45,18.33,K3,1.16
3328,00 42 24.72,-19 43 01.9,10.14,9.09,G0V,0.596
3322,00 42 27.50,-44 24 45.3,11.17,18.35,K7,1.24
3361,00 42 47.92,+12 48 41.8,10.32,14.62,,0.8240000000000001
3362,00 42 48.06,+35 32 55.0,10.37,42.03,M1Ve+...,1.46
3378,00 42 56.51,+22 39 34.5,11.55,35.58,M1,1.44
3381,00 42 58.28,-38 07 37.2,10.47,3.07,B8,-0.244
3387,00 43 02.90,-19 10 53.3,10.22,1.22,F0V,0.42
3394,00 43 16.48,-45 10 43.2,10.09,6.72,,0.7709999999999999
3400,00 43 18.19,-34 51 59.7,10.12,12.48,K1/K2V,0.8
3401,00 43 18.25,+61 54 40.2,10.52,3.34,Beq,0.5660000000000001
3415,00 43 28.40,+64 45 35.4,10.11,-1.09,WN5,0.401
3420,00 43 35.08,+83 17 53.3,10.62,6.96,K0,1.08
3428,00 43 41.37,+23 53 08.7,10.97,23.62,M0,1.32
3430,00 43 43.73,+72 10 42.3,10.2,6.04,F5,0.401
3431,00 43 45.60,-39 10 54.7,10.3,9.74,G0,0.596
3433,00 43 49.04,+84 14 42.9,10.57,3.35,F0,0.332
3439,00 43 52.48,-01 28 54.7,10.02,0.49,K2,1.071
3446,00 44 03.58,-13 55 23.7,12.1,15.15,,0.509
3460,00 44 16.47,+05 53 34.3,12.01,1.82,K7,1.226
3467,00 44 20.24,+60 16 46.6,10.11,-0.36,,0.38
3469,00 44 21.12,+36 46 07.9,10.57,9.0,,0.909
3474,00 44 23.35,+12 35 27.0,10.37,18.98,G0,0.382
3485,00 44 29.82,-35 05 08.4,10.23,10.07,G6/G8V:,0.7859999999999999
3493,00 44 36.98,-18 56 49.8,10.74,29.58,M2,1.406
3530,00 45 00.90,-24 32 56.8,10.15,8.43,G0,0.55
3531,00 45 01.51,-07 53 41.6,10.91,18.75,K7,1.206
3556,00 45 28.06,-51 37 33.4,11.91,25.97,M3,1.48
3564,00 45 33.43,+16 58 19.7,10.6,2.07,G0,0.604
3566,00 45 35.07,+63 21 07.4,10.5,2.53,B0.5V,0.66
3571,00 45 37.75,+26 04 00.3,10.99,27.96,,0.6679999999999999
3577,00 45 41.78,+10 51 12.7,10.61,5.54,G5,0.732
