HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
95255,19 22 49.33,+74 21 28.5,11.83,4.73,,
95278,19 23 03.57,-28 32 44.3,10.85,3.33,F0,0.41700000000000004
95286,19 23 07.63,-41 08 22.3,10.28,14.41,G6V:,0.75
95296,19 23 14.85,-62 32 16.2,10.01,11.31,G8/K0V,0.752
95324,19 23 38.12,-39 11 03.7,10.01,11.27,F5V,0.527
95326,19 23 38.93,-39 11 21.0,12.39,77.71,,
95341,19 23 47.43,+68 03 55.5,10.08,6.71,F8,0.342
95366,19 24 04.35,-35 34 52.1,10.1,3.57,F0V,0.426
95417,19 24 34.38,-22 03 39.9,10.91,34.92,K4,1.391
95422,19 24 36.28,+30 39 07.9,11.01,-0.91,R5,
95429,19 24 42.06,+08 33 01.4,11.19,33.11,,0.799
95436,19 24 46.85,+66 13 42.2,10.82,0.58,F0,0.355
95444,19 24 53.79,-31 04 16.4,11.57,1.5,,1.42
95472,19 25 11.99,-29 07 25.6,10.6,4.04,,1.2
95527,19 25 53.66,-10 47 57.0,10.03,2.94,F5,0.71
95596,19 26 38.58,+32 20 38.2,10.28,-1.56,,0.405
95601,19 26 41.11,+74 05 50.3,10.27,2.0,,0.637
95628,19 27 00.29,+73 53 48.2,10.77,7.31,,0.868
95633,19 27 07.39,+19 25 29.0,10.38,7.07,F8,0.5579999999999999
95636,19 27 13.34,-42 35 50.3,10.29,3.68,F5V,0.55
95638,19 27 14.11,+43 15 38.5,10.57,8.44,G5,0.659
95641,19 27 15.86,-34 32 48.5,10.56,20.83,,0.935
95647,19 27 20.97,-42 48 13.7,10.17,2.34,F5IV/V,0.5920000000000001
95652,19 27 23.55,+13 59 18.1,10.4,15.12,,0.473
95672,19 27 36.32,+02 03 21.0,11.03,,M4-M9,1.5
95688,19 27 46.99,+65 16 26.7,10.21,2.86,F8,0.435
95702,19 27 56.09,+24 20 50.8,11.0,5.89,A9.2,0.644
95704,19 28 00.32,-72 25 05.1,11.65,-11.74,,
95723,19 28 12.38,+13 59 55.6,11.07,,,
95733,19 28 21.01,+39 04 50.6,11.02,9.3,,0.66
95805,19 29 14.59,+29 42 46.0,10.12,7.52,G5V,0.747
95811,19 29 17.61,-46 51 18.8,10.17,,,
95816,19 29 20.27,+30 24 28.6,10.74,11.55,F0,0.37799999999999995
95829,19 29 26.36,+00 31 43.4,10.73,21.04,K5,1.28
95837,19 29 31.07,+03 05 51.2,10.15,2.8,A1V,0.29100000000000004
95850,19 29 40.50,-45 27 29.3,11.11,8.5,G0,0.74
95851,19 29 40.66,+26 00 48.0,10.84,2.23,F2II,0.79
95856,19 29 44.14,+01 01 31.8,11.74,6.01,B,0.614
95896,19 30 09.76,-44 31 34.2,10.28,2.71,F3/F5V,0.49200000000000005
95903,19 30 13.67,-54 56 16.7,11.33,28.85,M0,1.37
95904,19 30 14.50,+30 28 08.2,10.01,5.12,G0V,0.518
95921,19 30 29.12,-34 56 14.6,10.74,15.39,,0.825
95996,19 31 09.24,+36 09 15.1,10.22,9.55,F1,0.51
96005,19 31 14.32,-02 06 24.8,10.27,,,
96031,19 31 31.42,+34 42 17.9,10.39,4.78,M0e,1.484
96074,19 32 01.35,+38 48 08.6,11.57,14.09,,
96082,19 32 05.73,-25 28 05.1,11.17,1.05,Gp,1.065
96087,19 32 08.43,+31 00 42.1,10.19,1.79,F2V,0.527
96099,19 32 19.41,-42 12 41.1,10.21,5.84,G,0.48700000000000004
96101,19 32 20.79,-23 51 12.3,10.63,-0.71,F0,0.051
96108,19 32 25.78,+39 18 19.7,12.25,,,
96121,19 32 37.79,+00 34 38.8,10.42,43.86,M1,1.406
96172,19 33 18.14,-31 37 56.6,10.1,1.68,Gp,1.29
96175,19 33 19.78,-47 05 53.6,10.44,7.37,G0,0.659
96192,19 33 34.82,+23 31 48.4,10.13,12.85,,0.6729999999999999
96240,19 34 09.81,-23 01 00.0,10.11,20.28,K3V,1.01
96307,19 34 53.28,-32 36 56.6,11.1,2.49,,1.23
96339,19 35 06.32,+08 27 39.1,10.38,35.76,,1.46
96349,19 35 24.12,+05 50 17.9,10.67,7.65,G2Vvar,
96367,19 35 34.02,-39 11 36.7,10.1,7.7,F3V,0.546
96378,19 35 43.64,+01 43 43.8,10.01,7.37,G3,0.96
96385,19 35 47.61,-63 28 47.4,10.5,3.17,A9III/IV,0.44799999999999995
96404,19 36 00.99,-38 24 16.4,10.38,5.83,F3V,0.501
96410,19 36 06.96,-10 01 38.3,10.79,,,0.838
96426,19 36 14.80,-47 56 50.8,10.21,20.65,K7,1.163
96429,19 36 16.09,+75 44 48.3,10.15,1.25,M6,1.4480000000000002
96431,19 36 18.14,-23 11 21.1,11.23,3.16,K3V,1.095
96433,19 36 22.44,-29 59 28.3,10.51,9.08,F5,0.544
96455,19 36 36.98,-31 15 33.4,10.29,0.08,F2/F3V,0.446
96515,19 37 08.70,-51 34 00.7,11.73,16.9,,1.6640000000000001
96522,19 37 21.36,+06 11 46.0,10.59,15.81,,1.034
96532,19 37 32.11,+46 19 15.1,11.49,-3.98,,0.32
96538,19 37 34.99,+46 20 53.9,11.38,-0.56,,0.39
96569,19 37 54.22,+49 16 57.4,10.09,,,
96580,19 38 01.60,+11 43 18.3,10.01,0.0,M6e-M8e,1.5
96581,19 38 03.38,-60 36 39.6,12.64,0.68,,
96596,19 38 11.59,+32 29 22.5,10.75,0.83,F6,0.728
96600,19 38 13.49,+52 57 19.5,11.3,5.68,,
96627,19 38 46.69,-45 15 47.8,10.28,11.93,G0,0.63
96633,19 38 51.00,-30 56 21.4,10.32,4.01,F7V,0.54
96647,19 38 57.74,+28 30 46.7,10.59,3.96,M7e-M8e,1.01
96673,19 39 14.59,-02 36 43.4,10.29,8.2,,0.665
96675,19 39 15.42,-81 18 09.3,10.32,3.16,G0,0.7090000000000001
96689,19 39 25.24,-00 50 25.1,10.39,20.53,K0,0.9059999999999999
96690,19 39 25.88,-30 10 06.9,10.17,8.23,G2,0.73
96702,19 39 33.23,+71 52 23.0,10.94,45.88,M:,1.48
96710,19 39 35.93,-26 45 04.8,10.49,44.84,,1.391
96720,19 39 41.43,+14 02 53.4,10.66,0.94,B1,0.43
96780,19 40 17.42,+79 43 07.9,10.34,10.55,G0,0.7
96799,19 40 38.17,+09 44 27.0,10.05,1.04,B8,0.07
96827,19 40 50.81,+27 08 07.9,10.94,21.05,,0.22399999999999998
96891,19 41 44.16,-32 52 15.6,11.43,-0.98,,1.27
96930,19 42 12.62,-29 37 37.1,10.36,-1.22,F0,0.39799999999999996
96972,19 42 39.92,-30 39 24.7,10.24,3.55,F3V,0.48100000000000004
96974,19 42 43.56,-69 22 18.9,11.66,2.19,,
96998,19 42 52.80,-45 04 51.0,10.03,34.74,M1,1.347
97048,19 43 23.43,+23 23 28.8,11.32,21.14,K7,1.9
97056,19 43 28.87,+11 33 32.5,10.66,6.25,F5,0.5760000000000001
97061,19 43 31.64,+14 16 58.5,10.45,-0.85,A5,0.507
97104,19 44 04.30,-34 44 24.7,11.19,2.76,Gp,1.33
97113,19 44 10.09,-26 32 35.3,11.23,12.33,Kp,
97121,19 44 18.41,+02 16 03.0,10.78,4.71,A0,0.175
97146,19 44 42.17,-44 42 49.5,10.9,18.07,K7,1.0490000000000002
97147,19 44 43.17,-46 22 43.9,10.15,3.1,F5V,0.46399999999999997
97167,19 44 58.49,+55 50 21.2,10.08,7.97,,
97168,19 44 59.23,+51 35 41.1,10.35,10.06,,0.8759999999999999
97174,19 45 03.13,+29 19 40.6,10.32,18.74,K3,0.775
97184,19 45 09.83,+04 54 22.2,10.26,0.81,M4e,1.51
97194,19 45 14.49,-42 40 13.1,10.98,9.65,K0,0.78
97196,19 45 15.54,-68 23 22.3,10.11,21.15,K3,1.0490000000000002
97202,19 45 17.58,-51 24 58.7,12.96,,M2,1.47
97214,19 45 26.66,-32 38 02.9,10.08,4.77,F5/F6V,0.5579999999999999
97220,19 45 30.62,+26 01 52.0,10.02,-0.43,A2,0.226
97237,19 45 45.24,+27 07 38.5,12.38,,M4...,1.72
97241,19 45 49.47,+32 23 11.9,10.61,87.57,,
97266,19 46 04.72,+33 33 26.0,10.36,4.58,K0,0.603
97281,19 46 15.94,+28 16 19.1,10.19,-0.85,WN+...,0.258
97309,19 46 35.19,+22 53 23.3,10.57,-2.8,,1.236
97322,19 46 41.31,-11 28 47.1,10.06,-3.93,F8,0.71
97324,19 46 42.26,-48 31 30.0,10.2,6.48,G5V,0.597
97337,19 47 10.19,+40 20 25.0,11.01,26.9,,1.629
97386,19 47 36.25,+58 33 20.2,12.67,1.84,,0.8
97394,19 47 40.51,-42 00 26.0,10.32,9.11,DB:p,-0.067
97428,19 48 05.80,-00 46 59.0,10.54,5.63,F0,0.677
97456,19 48 32.20,+18 12 03.7,10.43,-0.19,WN4 (SB1),-0.011000000000000001
97457,19 48 32.62,-37 38 19.8,11.04,2.0,F8,0.628
97512,19 49 10.88,-29 10 27.4,11.56,13.24,,1.3459999999999999
97520,19 49 14.52,+26 47 39.0,11.39,-0.16,O9.5III,0.7809999999999999
97530,19 49 21.03,-62 59 17.5,10.89,6.62,A,0.42
97558,19 49 43.87,-11 24 19.5,10.69,1.64,,0.563
97563,19 49 47.74,+21 10 32.9,10.98,0.4,B8Iab,0.4
97567,19 49 49.60,-43 16 34.1,11.29,19.3,,1.012
97570,19 49 54.19,-23 43 02.4,12.05,,A0IV/V,0.10400000000000001
97576,19 49 57.76,+45 09 30.9,10.01,1.83,K2,1.237
97579,19 50 01.93,+31 57 57.5,10.13,17.34,F8,0.887
97586,19 50 06.34,-07 36 52.6,10.94,9.66,M6III:e-M8,1.5
97589,19 50 08.22,+54 38 56.4,10.48,6.14,,0.325
97594,19 50 11.84,+35 41 03.0,10.54,-0.36,Bep + M5III,0.889
97623,19 50 30.60,-75 10 52.1,10.19,10.06,G5,0.685
97631,19 50 35.14,-32 43 44.9,10.14,4.75,G0,0.5489999999999999
97644,19 50 43.48,-71 46 17.2,10.74,-0.54,Md,1.5
97666,19 50 55.34,-46 41 33.9,10.51,3.03,F3V,0.469
97673,19 51 00.46,+23 05 53.2,11.25,7.16,B7III,0.42
97677,19 51 03.28,+82 47 27.7,10.07,6.21,F2,0.484
97680,19 51 04.70,-41 01 23.6,10.24,1.86,B3V,-0.146
97688,19 51 12.09,-40 12 17.7,10.06,3.74,F3/F5V,0.406
97693,19 51 14.56,-44 17 24.9,10.87,23.36,M0,1.2990000000000002
97696,19 51 17.56,+24 58 36.0,10.87,8.18,F8,0.653
97699,19 51 18.97,+17 41 13.1,10.83,12.52,K2,1.321
97716,19 51 30.74,+22 59 08.0,10.89,-1.28,F9V,0.62
97721,19 51 33.22,-48 32 17.7,10.15,4.6,G3/G5V,0.67
97747,19 51 49.69,+05 36 47.9,10.76,8.11,G5,0.74
97764,19 52 01.40,+29 23 50.1,11.67,6.37,F8V,0.66
97772,19 52 05.99,+29 23 54.7,11.15,8.56,F2V,0.42
97781,19 52 10.23,+67 25 31.9,11.22,9.54,K2,0.9
97806,19 52 30.68,+29 19 57.3,10.35,1.18,B5IV,0.33
97868,19 53 16.94,-37 24 05.2,11.95,1.41,,0.87
97923,19 54 01.90,-30 15 10.4,10.31,0.9,F5,0.44299999999999995
97927,19 54 05.74,-32 00 11.1,10.25,24.29,,1.181
97960,19 54 29.37,-67 54 16.9,11.63,0.03,,0.45
97962,19 54 31.40,-28 20 20.9,10.22,12.33,B9V,-0.21899999999999997
97991,19 54 52.80,+12 45 58.4,10.79,-1.04,A2,0.8370000000000001
98002,19 54 58.65,-42 38 39.6,10.14,4.78,F5V,0.43799999999999994
98022,19 55 10.32,-45 05 49.8,11.29,2.54,G0,0.659
98033,19 55 17.47,-39 58 14.7,10.6,7.27,G0,0.73
98060,19 55 42.93,+03 21 52.4,12.17,-3.36,M4,1.933
98070,19 55 52.37,+51 16 19.1,12.28,36.42,M2,1.9280000000000002
98104,19 56 14.61,-30 59 49.5,10.09,5.44,G0,0.4
98105,19 56 15.81,-52 58 15.6,10.58,32.65,M0,1.34
98122,19 56 31.56,-42 09 38.0,10.11,5.38,F5V,0.44
98123,19 56 34.46,+59 09 42.5,10.06,33.43,,1.6
98147,19 56 46.29,+01 06 06.8,11.82,8.21,G0,0.57
98159,19 56 55.39,-59 17 03.1,10.9,23.53,K7,1.31
98170,19 57 01.02,-59 17 27.0,10.32,23.29,K7,1.2
98220,19 57 36.07,-01 53 10.9,10.82,2.48,M6e-M9,1.5
98235,19 57 46.34,-38 09 22.1,11.19,-1.95,Gp,
98237,19 57 47.79,-21 31 34.5,10.8,18.09,K3V,1.0979999999999999
98265,19 58 00.18,-65 44 09.7,12.55,-7.74,,
98270,19 58 02.53,-09 13 28.2,10.34,1.46,M5,1.5
98277,19 58 07.33,-36 17 30.1,10.07,3.96,F2V,0.49200000000000005
98322,19 58 35.51,+81 16 10.8,10.25,17.16,,0.703
98354,19 58 57.88,-07 42 11.4,10.31,11.74,,0.857
98368,19 59 07.29,-44 00 38.9,10.17,1.99,F0V,0.358
98376,19 59 10.80,+29 27 02.7,10.06,1.93,F7.5,1.251
98396,19 59 30.94,+29 20 09.9,10.11,5.38,B7III,0.13
98411,19 59 42.58,+33 59 28.0,11.44,-8.96,M5III,1.75
98430,19 59 58.04,+19 10 44.7,11.13,2.57,F5,
98446,20 00 10.60,+36 24 55.4,10.21,-1.05,,0.467
98447,20 00 11.06,-69 52 54.6,10.51,-1.41,,1.5
98466,20 00 19.12,+33 15 51.1,12.08,-0.24,B,0.97
98492,20 00 33.83,+09 21 14.4,11.59,9.09,G:,0.6729999999999999
98494,20 00 34.30,-43 41 51.4,10.11,3.36,F3/F5V,0.456
98542,20 01 05.19,-07 21 51.9,10.27,-0.1,R4,1.21
98546,20 01 07.99,-30 30 38.9,10.58,2.34,F5.2,0.58
98551,20 01 09.63,+42 47 59.6,10.37,1.34,A0,0.16
98553,20 01 09.82,+15 48 12.7,10.23,-2.37,F6Iab,0.833
98569,20 01 18.43,-10 19 49.6,10.72,5.02,,0.727
98580,20 01 27.27,+40 17 58.4,10.74,0.55,,0.912
98581,20 01 28.29,+53 23 55.7,10.19,-1.69,G5,1.48
98603,20 01 40.17,+40 01 44.5,10.09,-0.68,N0,2.577
98613,20 01 45.87,+63 32 40.7,10.03,15.3,K2,0.9
98618,20 01 50.99,-69 01 23.0,10.12,0.67,F0V,0.34700000000000003
98652,20 02 14.71,+37 23 37.7,10.82,-1.95,,1.35
98653,20 02 15.57,-55 45 59.1,10.06,12.64,K0V,0.797
98655,20 02 17.06,+45 46 58.0,10.43,8.76,K0,0.975
98674,20 02 31.74,+30 39 12.0,10.99,3.08,N0,2.892
98675,20 02 32.69,+00 42 50.1,11.14,-4.67,,
98713,20 02 59.89,-76 07 59.1,10.33,,M0,0.914
120148,20 03 00.82,+20 05 49.8,10.57,36.47,,1.375
98725,20 03 03.44,+20 10 21.7,10.46,4.55,,0.508
98737,20 03 15.65,+58 57 16.5,12.04,1.48,A5,
98775,20 03 39.91,-31 30 12.5,10.67,2.22,G0,0.537
98790,20 03 49.97,+14 58 30.5,11.29,,,
98793,20 03 55.17,+44 08 24.2,11.64,1.29,,1.0
98797,20 03 57.35,+44 09 33.6,11.3,0.75,,0.21
98811,20 04 01.91,-65 35 50.7,11.35,,M,1.48
98814,20 04 02.71,+41 35 16.5,10.03,1.36,B8V comp SB,0.146
98818,20 04 05.64,+38 11 56.5,10.07,1.73,K2,1.11
98830,20 04 11.31,+08 05 09.1,11.2,1.01,K7,1.276
98833,20 04 13.57,-01 40 44.6,10.42,4.12,K0,0.8440000000000001
98843,20 04 22.14,-49 38 27.9,10.26,3.41,,1.238
98884,20 04 50.44,-64 20 00.9,11.68,15.75,M1,1.6130000000000002
98888,20 04 52.86,+69 25 36.9,10.05,2.99,F8,0.41700000000000004
98906,20 05 03.36,+54 26 11.1,11.98,63.23,M3,1.524
98908,20 05 05.24,-13 26 54.3,10.85,20.24,K6,1.31
98928,20 05 13.59,+78 02 43.2,10.58,3.62,,0.703
98935,20 05 18.65,+10 16 50.8,10.93,-0.64,K7,1.5319999999999998
98968,20 05 35.77,+08 11 36.6,11.13,-5.81,M0,1.5230000000000001
98980,20 05 42.04,+14 45 59.0,10.42,6.86,G0,0.69
98989,20 05 44.40,+04 02 54.3,10.46,5.31,sdF8:,0.51
99045,20 06 32.74,+12 40 59.7,12.65,0.74,,
99071,20 06 46.72,-47 53 36.5,10.2,4.77,F2/F3V,0.374
99073,20 06 49.21,-37 54 44.2,10.25,4.55,F5V,0.5429999999999999
99096,20 07 05.16,-19 25 22.7,11.54,26.4,M:,1.208
99126,20 07 27.27,-43 49 09.7,13.15,10.0,,
99150,20 07 44.78,-31 45 07.8,12.19,68.49,M,1.56
99161,20 07 54.65,+31 27 43.8,10.37,2.44,K0,1.048
99165,20 07 56.22,+07 26 31.1,11.28,22.19,M0V:,1.38
99190,20 08 12.00,-05 45 28.8,10.37,4.54,G0,0.76
99215,20 08 28.96,+10 21 28.4,10.44,1.59,K7,1.63
99267,20 09 01.32,+42 51 52.0,10.11,12.04,F3,0.51
99275,20 09 07.11,-48 55 34.5,10.14,6.77,F8V,0.727
99284,20 09 14.84,+35 57 29.4,10.55,-0.32,,1.25
99309,20 09 28.83,+15 18 44.7,11.03,-1.42,F0,0.12
99319,20 09 34.59,-23 52 36.2,10.15,11.29,,0.85
99343,20 09 48.90,+06 32 07.7,10.84,10.19,M1,1.6680000000000001
99389,20 10 24.22,+51 29 44.4,12.48,-4.85,,
99429,20 10 54.32,-38 10 56.6,10.07,5.68,G3/G5V:,0.752
99436,20 10 57.04,-53 54 37.4,12.0,4.55,,1.15
99438,20 10 57.08,-30 13 04.4,12.18,65.06,,0.07
99463,20 11 13.78,-39 25 43.7,10.4,4.54,F6/F7V,0.45
99483,20 11 24.07,+05 36 19.9,11.11,13.49,K7,1.6019999999999999
99485,20 11 25.36,-46 53 28.9,10.06,7.81,F8,0.59
99491,20 11 26.91,-15 51 54.5,10.47,3.92,F2/F3V,0.473
99492,20 11 28.02,+01 39 34.0,11.52,-2.7,M1,1.588
99503,20 11 37.47,+15 37 14.6,10.2,-3.25,M3e-M5.5e,1.4969999999999999
99507,20 11 39.66,-04 35 35.8,10.23,0.76,,
99511,20 11 46.32,-80 04 35.7,12.06,7.13,,0.693
99541,20 12 04.26,+09 59 45.1,10.1,-1.27,B8,0.081
99547,20 12 06.96,+07 47 08.5,11.75,4.45,M0,1.764
99549,20 12 07.02,+06 19 45.5,11.11,3.72,K7,1.694
99550,20 12 09.34,-12 53 33.7,11.3,37.94,,1.4240000000000002
99556,20 12 14.17,+37 56 47.0,10.2,-1.06,K5,1.26
99566,20 12 19.45,+32 04 32.7,10.05,0.02,,0.237
99577,20 12 30.23,+11 22 14.4,10.68,18.8,,
99587,20 12 37.87,-09 04 07.8,10.61,19.53,K7V,1.3519999999999999
99599,20 12 45.11,+47 23 41.4,10.99,-0.44,F4Ia comp,
99605,20 12 49.86,-34 54 23.0,10.02,5.41,K1III,1.176
99606,20 12 50.17,-34 54 07.5,10.74,18.51,G5,0.804
99629,20 13 10.96,+02 56 20.0,10.31,27.36,K7V:,1.26
99648,20 13 21.48,+37 44 43.8,10.18,1.59,M6,1.306
99664,20 13 28.05,+36 49 20.1,10.14,-0.73,M0,1.508
99699,20 13 51.55,+13 23 19.5,11.3,37.54,M0V:,1.365
99735,20 14 12.17,-48 32 23.0,10.19,7.3,F3/F5V:,0.428
99754,20 14 24.34,+11 57 25.6,11.39,-1.0,K7,1.9480000000000002
99764,20 14 28.18,-07 16 52.8,10.19,49.03,K7V,1.351
99765,20 14 28.42,-13 50 07.8,10.43,-1.61,F4Ibvar,0.37
99792,20 14 50.03,+18 27 56.5,10.46,23.91,K0,
99793,20 14 50.16,+08 55 32.7,11.51,0.43,M1,1.986
99802,20 14 55.14,+09 05 21.2,10.13,4.01,M5e-M6e,1.5
99810,20 15 04.57,-19 59 20.7,10.09,8.03,F0V,0.44
99820,20 15 12.28,+34 30 48.3,10.26,1.63,A3e+G5,0.299
99819,20 15 13.29,+06 19 15.2,11.0,0.5,M1,1.869
99842,20 15 21.85,-60 51 09.3,10.71,9.72,,0.762
99872,20 15 43.78,+02 01 09.4,11.03,-5.18,M0,1.64
99876,20 15 49.37,-35 33 37.0,10.06,6.96,F5V,0.602
99882,20 15 53.54,-37 58 40.1,10.71,11.49,F8,0.609
99887,20 15 58.33,+35 00 53.1,10.51,-0.95,,1.135
99890,20 16 00.89,+02 06 41.5,12.28,-0.08,M3,1.69
99898,20 16 08.56,+37 33 23.1,10.2,-1.29,B1V,0.35
99899,20 16 08.93,+62 28 54.6,10.49,6.84,F8,0.8109999999999999
99916,20 16 21.84,-02 04 07.9,11.16,37.15,,1.4169999999999998
99919,20 16 23.48,-50 55 09.1,10.41,17.29,K5,0.9540000000000001
99921,20 16 24.74,+12 04 14.7,11.32,3.52,M0,1.9380000000000002
99941,20 16 38.95,+10 02 08.5,10.44,-1.11,K7,1.496
99946,20 16 40.95,-59 40 51.4,10.56,5.63,F0V,0.48
99950,20 16 46.53,+06 34 15.5,10.86,2.74,M1,0.8759999999999999
100006,20 17 20.28,-36 38 01.4,10.51,,,
100047,20 17 52.40,-17 17 06.2,11.03,28.72,,1.301
100053,20 17 55.24,-22 36 06.0,10.26,2.45,G5,0.9229999999999999
100071,20 18 09.56,-28 22 03.5,10.28,4.4,K,1.13
100109,20 18 29.92,+23 17 53.1,10.38,,A0,0.29
100111,20 18 30.60,+19 01 51.8,11.54,39.57,F2,0.44799999999999995
100112,20 18 31.97,+33 09 18.8,10.3,2.14,B2:V:,0.8420000000000001
100113,20 18 33.28,+37 26 59.1,10.16,-1.41,C8e:,3.0
100133,20 18 45.92,-00 39 25.6,11.01,34.77,,1.43
100137,20 18 47.18,-52 37 04.2,11.96,13.59,M5e,1.5
100141,20 18 49.22,+31 02 27.0,11.32,-0.57,B...,0.5
100179,20 19 11.21,-53 20 33.9,11.56,13.63,,0.48
100185,20 19 18.40,-43 20 03.6,10.2,1.46,F3V,0.493
100194,20 19 22.67,+04 29 08.1,10.52,-0.28,M1,1.6219999999999999
100198,20 19 24.73,+36 20 24.3,11.65,0.92,A5,
100200,20 19 25.55,+24 21 45.5,10.62,-1.88,B8,0.08
100213,20 19 31.92,+37 11 26.9,10.5,-0.78,,1.58
100215,20 19 33.20,-66 52 58.1,10.8,5.42,,0.502
100257,20 20 01.92,-22 07 29.6,10.09,6.84,,0.632
120415,20 20 04.64,-67 22 23.4,10.86,,,
100279,20 20 24.54,+06 01 56.0,10.14,10.19,G4,0.621
100289,20 20 28.24,+41 21 51.6,10.63,9.25,B2e,0.76
100291,20 20 29.34,+06 47 19.2,11.33,22.91,K7,1.229
100293,20 20 30.42,-39 57 25.9,10.12,5.18,G2V,0.537
100299,20 20 32.02,-33 18 48.6,10.32,-0.16,G2,1.1840000000000002
100302,20 20 34.86,-62 10 41.3,10.08,0.65,F0III/IV,0.337
100304,20 20 36.05,+08 27 34.5,11.41,,M0,1.412
100338,20 20 55.33,-13 40 42.6,11.98,15.63,,1.046
100339,20 20 56.33,-31 09 50.5,10.18,3.04,G0,0.7
100355,20 21 10.69,+02 49 05.8,10.18,1.33,G0,0.855
100356,20 21 10.95,-51 47 28.6,10.21,43.57,M0,1.594
100370,20 21 19.53,+03 33 57.2,11.03,-1.29,K7V:,1.421
100374,20 21 23.69,+23 15 21.5,10.74,13.73,K3,0.99
100378,20 21 26.51,-20 27 55.8,10.41,2.04,,
100382,20 21 29.31,+09 26 08.7,10.67,0.54,B8,-0.012
100383,20 21 29.54,+12 09 35.7,11.46,-0.62,M0,0.8140000000000001
100406,20 21 38.09,+13 34 57.8,10.36,-0.33,M1,1.35
100424,20 21 48.32,+33 16 25.6,10.05,-0.13,K5,1.431
100428,20 21 54.79,-03 13 01.7,10.26,14.39,G5,0.8140000000000001
100450,20 22 13.28,+11 41 08.1,10.07,19.62,K2,0.85
100455,20 22 13.77,-49 44 19.0,10.14,26.24,K5/M0V,1.088
100478,20 22 33.37,-20 24 10.2,10.94,6.93,,0.645
100490,20 22 41.11,-58 17 04.6,10.6,50.36,M,1.455
100493,20 22 41.84,+10 32 13.5,11.73,-0.64,K7,1.7369999999999999
100530,20 23 03.44,+02 57 56.6,11.14,5.96,M0,1.839
100531,20 23 04.10,-69 25 57.9,11.67,10.68,,0.447
100554,20 23 24.45,+33 29 23.6,11.54,14.09,K3,0.948
100560,20 23 27.45,+48 33 06.3,10.33,2.63,K0,1.3119999999999998
100578,20 23 47.63,-41 32 55.5,10.42,1.45,F3/F5V,0.47600000000000003
100599,20 23 54.64,+00 56 44.8,10.34,-1.28,M6-M7e,1.626
100582,20 23 55.45,+56 14 52.2,10.27,2.62,N0v,1.306
100601,20 23 59.41,-10 39 40.2,10.39,10.11,K0,0.7929999999999999
100607,20 24 05.36,+21 56 27.8,10.25,1.39,F8,0.579
100625,20 24 14.88,-39 44 34.2,12.14,12.54,,
100626,20 24 15.29,-39 44 21.5,10.29,2.44,G1V,0.52
100682,20 24 45.36,+25 03 09.2,10.83,7.49,,0.42700000000000005
100695,20 24 51.00,-47 18 40.0,10.53,3.34,F6V,0.529
100717,20 25 08.50,-64 18 01.1,10.4,9.42,K5V,0.9440000000000001
100735,20 25 25.43,+17 54 24.8,10.46,-1.05,N0,2.1
100748,20 25 34.37,-12 02 24.7,11.18,9.58,,0.634
100802,20 26 20.35,+10 50 17.8,11.08,16.2,K3,1.382
100816,20 26 28.64,+63 26 42.4,10.19,1.27,B8,0.069
100818,20 26 32.09,-44 45 14.2,11.58,19.0,M0,1.26
100837,20 26 45.13,+04 57 17.8,10.22,3.39,K0,0.8490000000000001
100842,20 26 47.42,-31 20 56.6,10.02,1.41,G2,0.501
100848,20 26 50.24,+24 36 25.4,10.4,4.01,G5,1.14
100851,20 26 52.93,+03 37 14.0,11.04,3.87,K7,1.64
100856,20 26 57.83,-01 11 32.3,10.12,2.58,K2,1.775
100882,20 27 19.56,+51 47 24.3,10.22,0.29,G5,-0.091
100908,20 27 34.73,+28 03 35.6,10.07,-2.03,A0,0.159
100922,20 27 41.23,+17 31 24.1,10.62,0.4,K0,0.9
100923,20 27 41.79,-27 44 44.1,11.41,64.93,M3,1.504
100940,20 27 58.92,-00 09 05.2,10.75,1.16,,
100960,20 28 10.24,-33 17 54.3,10.52,4.17,F5,0.52
100984,20 28 28.20,+62 00 53.6,11.47,4.49,G8,0.775
101025,20 28 51.25,-59 50 50.6,10.12,8.19,,0.655
101035,20 28 58.16,+34 08 06.4,10.92,4.56,,1.71
101043,20 29 12.86,+02 48 08.7,11.45,4.26,M4,1.7
101063,20 29 15.78,-40 25 01.1,10.34,1.89,M6e,1.5
101066,20 29 20.18,+46 39 59.1,10.12,2.19,B1V:nne,0.28
101077,20 29 25.60,+01 32 31.2,10.24,3.71,M1,0.569
101113,20 29 44.76,-42 31 11.2,10.51,3.17,F0V,0.22699999999999998
101132,20 29 59.69,-56 05 06.0,10.1,4.9,F5/F6V,0.498
101146,20 30 08.61,+04 34 21.3,11.47,10.71,G:...,0.8740000000000001
101151,20 30 11.20,-46 54 38.4,10.25,4.88,F2V,0.536
101169,20 30 23.02,-50 52 07.6,10.12,5.73,F6V,0.409
101176,20 30 28.52,-45 31 16.1,10.1,3.43,,0.737
101180,20 30 31.42,+65 26 55.9,10.54,125.62,M3,1.5419999999999998
101185,20 30 34.56,-49 51 18.6,10.28,3.16,F3/F5V,0.32799999999999996
101257,20 31 29.45,+28 50 31.4,10.34,1.77,F2,0.37799999999999995
101276,20 31 42.53,-31 22 29.9,10.38,1.41,G2,0.532
101302,20 32 00.18,+33 00 19.5,10.07,21.64,K5,0.915
